,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
"Ноутбук ACER ASPIRE 3 CI3-1115G4 15"" 8/512GB NX.ADDEP.01S",41 990 ₽,"15.6 """,512 Гб,8,2,Руководство пользователя - 1 шт; гарантийный талон -1 шт; Ноутбук - 1 шт; Сетевой адаптер - 1шт,,1.7 кг,
Ноутбук Lenovo IdeaPad 3 15ITL6 82H800L8RK,38 497 ₽,"15.6""",256 гб,4 гб,2,Ноутбук; зарядное устройство; документация,,2.1 кг,DOS
"Ноутбук 15,6 дюймов FHD IPS",33 283 ₽,15.6,512 Гб,12 ГБ,4,"ноутбук, зарядное устройство, русская раскладка клавиатуры присутствует.",7000 мА*ч,1.8 кг,Windows 10x64
"Ноутбук Lenovo V17 G2 17.3"" FHD IPS i7/512SSD/MX350 2GB/DOS",124 980 ₽,17.3,512,8 ГБ,4,"Ноутбук, документация, блок питания",,2.2 кг,Без системы
Ноутбук Tecno Megabook T1 12GB/256GB,55 505 ₽,"15.6""",256 Гб,12 ГБ,2,ноутбук; адаптер питания; Кабель USB Type-C; документация,70 Вт·ч,1.48 кг,Linux
"Ноутбук Book Prime CloudPro002 16/512 ГБ Core i5 14""",65 990 ₽,"14""",512 Гб,16,4,,54 Вт/ч,,Windows 11
"Ноутбук EVE 15 C423 15.6"" Ryzen 3 3200U 8Gb SSD256Gb W11Pro",31 490 ₽,"15.6""",256 Гб,8 ГБ,2,"ноутбук - 1шт, зарядное устройство - 1шт, краткое руководство - 1шт",4000 мА*ч,1.7 кг,Windows
Ноутбук ASUS VivoBook 15/8Gb/256Gb SSD/DOS (90NB0SG2-M00CR0),48 020 ₽,15.6,256,8 ГБ,2,"Ноутбук, блок питания, документация",,1.8 кг,Без системы
"Ноутбук HP ZBookFury 17G8 17.3""512Gb SSD/NVIDIA T1200/W10Pro",245 800 ₽,17.3,512,16 ГБ,8,"ноутбук, блок питания",,2.76 кг,Windows Pro
MacBook Pro 16/M2 Pro/16/1 (Silver),244 841 ₽,"16,2""",1 ТБ,16 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
Ноутбук Nitro 5 AN515-57-76M3,84 990 ₽,"15.6""",512 Гб,16,8,Блок питания; инструкция,57 Втч,2.3 кг,Без системы
"Ноутбук MSI Modern 15 (15,6/i3-1215U/8Gb/256Gb/Windows10PRO)",42 290 ₽,15.6,256,8,6,,39 Вт*ч,,Windows10PRO
"Ноутбук TECNO T1/ i5 16/512GB/15.6""/ Linux/ Space Grey",41 990 ₽,15.6,512G,16 ГБ,4,,"3-элементный, 70 Вт·ч",1.48 кг,Linux
"Ноутбук AZ-1406 14""/2х1.1GHz/6Gb/512Gb",16 055 ₽,"14""",512 Гб,6 ГБ,2 ядра,"ноутбук, блок питания",3500 mAh,1.7 кг,Windows 10 Pro
